Date,Location,Cases,Area
2000-11-21,Αττική,271,Στερεά Ελλάδα
2005-05-20,Αττική,364,Στερεά Ελλάδα
2013-08-23,Πρέβεζα,17,Ήπειρος
2014-03-01,Αττική,364,Στερεά Ελλάδα
2017-09-16,Αττική,676,Στερεά Ελλάδα
2018-04-12,Αττική,676,Στερεά Ελλάδα
2018-04-13,Αττική,676,Στερεά Ελλάδα
2018-04-16,Αττική,676,Στερεά Ελλάδα
2018-11-09,Αττική,676,Στερεά Ελλάδα
2018-11-18,Αττική,676,Στερεά Ελλάδα
2018-11-30,Αττική,676,Στερεά Ελλάδα
2018-12-09,Αττική,676,Στερεά Ελλάδα
2018-12-19,Αττική,364,Στερεά Ελλάδα
2018-12-25,Πρέβεζα,17,Ήπειρος
2018-12-28,Αττική,364,Στερεά Ελλάδα
2018-12-29,Αττική,271,Στερεά Ελλάδα
2019-01-01,Αττική,271,Στερεά Ελλάδα
2019-01-05,Αττική,364,Στερεά Ελλάδα
2019-01-11,Αττική,364,Στερεά Ελλάδα
2019-01-14,Πρέβεζα,17,Ήπειρος
2019-01-21,Πρέβεζα,17,Ήπειρος
2019-01-29,Άργος - Μυκήνες,400,Πελοπόννησος
2019-01-29,Αττική,364,Στερεά Ελλάδα
2019-01-29,Πρέβεζα,17,Ήπειρος
2019-01-31,Αττική,364,Στερεά Ελλάδα
2019-02-01,Αττική,364,Στερεά Ελλάδα
2019-02-04,Αττική,364,Στερεά Ελλάδα
2019-02-04,Πρέβεζα,17,Ήπειρος
2019-02-05,Πρέβεζα,17,Ήπειρος
2019-02-06,Αττική,364,Στερεά Ελλάδα
2019-02-07,Λάρισα,11,Θεσσαλία
2019-02-15,Πρέβεζα,17,Ήπειρος
2019-02-16,Αττική,364,Στερεά Ελλάδα
2019-02-20,Αττική,271,Στερεά Ελλάδα
2019-02-21,Αττική,364,Στερεά Ελλάδα
2019-02-22,Πρέβεζα,17,Ήπειρος
2019-02-23,Αττική,364,Στερεά Ελλάδα
2019-02-23,Πρέβεζα,17,Ήπειρος
2019-02-25,Πρέβεζα,17,Ήπειρος
2019-03-04,Πρέβεζα,17,Ήπειρος
2019-03-06,Αττική,271,Στερεά Ελλάδα
2019-03-08,Αττική,364,Στερεά Ελλάδα
2019-03-09,Αττική,271,Στερεά Ελλάδα
2019-03-09,Πρέβεζα,17,Ήπειρος
2019-03-11,Αττική,364,Στερεά Ελλάδα
2019-03-12,Αττική,364,Στερεά Ελλάδα
2019-03-15,Αττική,271,Στερεά Ελλάδα
2019-03-17,Αττική,364,Στερεά Ελλάδα
2019-03-20,Πρέβεζα,17,Ήπειρος
2019-03-21,Αττική,364,Στερεά Ελλάδα
2019-03-22,Πρέβεζα,17,Ήπειρος
2019-03-23,Αττική,676,Στερεά Ελλάδα
2019-03-23,Πρέβεζα,17,Ήπειρος
2019-03-29,Αττική,364,Στερεά Ελλάδα
2019-04-01,Πρέβεζα,17,Ήπειρος
2019-04-02,Αττική,271,Στερεά Ελλάδα
2019-04-03,Αττική,364,Στερεά Ελλάδα
2019-04-04,Αττική,364,Στερεά Ελλάδα
2019-04-04,Πρέβεζα,17,Ήπειρος
2019-04-09,Αττική,364,Στερεά Ελλάδα
2019-04-10,Αττική,676,Στερεά Ελλάδα
2019-04-14,Αττική,364,Στερεά Ελλάδα
2019-04-16,Αττική,676,Στερεά Ελλάδα
2019-04-17,Αττική,271,Στερεά Ελλάδα
